epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4473.22,0.38164,1.08279,0.28425,0.91062,0.99467,0.99636,0.99491,0.96821,0.74147,0.74183,0.68867,0.66306,0.28388,0.96399,0.19969,0.85562,0.000591097,0.000591097,0.000591097
90,4524.77,0.37946,1.08741,0.27614,0.90327,0.99681,0.99449,0.99479,0.96788,0.74682,0.7454,0.69222,0.66153,0.27769,0.9655,0.19477,0.85131,0.000588348,0.000588348,0.000588348
91,4575.21,0.37758,1.10733,0.27137,0.8989,0.9944,0.99431,0.9948,0.97019,0.74443,0.74374,0.68457,0.6605,0.27539,0.95181,0.19616,0.85268,0.000585599,0.000585599,0.000585599
92,4626.26,0.37322,1.08746,0.27185,0.89887,0.99813,0.99454,0.99491,0.96813,0.73462,0.73229,0.68576,0.66202,0.28334,0.93463,0.19808,0.85284,0.00058285,0.00058285,0.00058285
93,4676.21,0.37993,1.09725,0.26979,0.90223,0.99732,0.9904,0.99479,0.97357,0.74773,0.74826,0.70178,0.6703,0.2776,0.95441,0.19811,0.84986,0.000580101,0.000580101,0.000580101
94,4727.61,0.38773,1.10841,0.28067,0.90926,0.99867,0.99386,0.99481,0.96657,0.74546,0.74188,0.69145,0.66241,0.29649,0.9628,0.20262,0.86008,0.000577352,0.000577352,0.000577352
95,4779.44,0.37801,1.0857,0.26863,0.89788,0.99501,0.99361,0.99481,0.96387,0.74789,0.74764,0.69542,0.66964,0.30453,0.94885,0.20325,0.86345,0.000574603,0.000574603,0.000574603
96,4830.88,0.3807,1.08571,0.27429,0.90101,0.99556,0.99449,0.99494,0.96514,0.72985,0.72775,0.68598,0.65736,0.2995,0.99269,0.20168,0.86035,0.000571854,0.000571854,0.000571854
97,4884.25,0.3755,1.07894,0.28569,0.90027,0.98503,0.99189,0.99484,0.96834,0.73184,0.73872,0.68082,0.65692,0.28688,0.94294,0.21934,0.8538,0.000569106,0.000569106,0.000569106
98,4936.1,0.3752,1.08905,0.27534,0.9058,0.99633,0.9944,0.99488,0.96756,0.75502,0.75417,0.701,0.66854,0.29025,0.93658,0.20366,0.85668,0.000566357,0.000566357,0.000566357
99,4986.1,0.3653,1.089,0.26615,0.89267,0.99733,0.9949,0.9949,0.96697,0.7306,0.72943,0.68284,0.65308,0.28736,1.01519,0.19905,0.85534,0.000563608,0.000563608,0.000563608
100,5035.7,0.37257,1.09203,0.26547,0.89517,0.99787,0.99523,0.99496,0.96776,0.7438,0.74118,0.69851,0.6719,0.27772,0.94048,0.19856,0.85286,0.000560859,0.000560859,0.000560859
101,5085.26,0.37572,1.09267,0.27598,0.89863,0.99426,0.99561,0.99474,0.96923,0.73687,0.73827,0.69603,0.66949,0.28293,0.95451,0.19916,0.851,0.00055811,0.00055811,0.00055811
102,5137.49,0.37194,1.08942,0.27258,0.8964,0.99754,0.99462,0.99488,0.97343,0.74062,0.74234,0.68173,0.65417,0.27796,0.94618,0.19274,0.84763,0.000555361,0.000555361,0.000555361
