epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3637.84,0.41122,1.14865,0.30901,0.88855,0.99243,0.99088,0.99421,0.95683,0.73759,0.73588,0.67683,0.63534,0.31122,1.02205,0.22186,0.83751,0.000394774,0.000394774,0.000394774
80,3686.23,0.40838,1.13173,0.30385,0.88824,0.99151,0.99399,0.99424,0.95881,0.73416,0.73581,0.69109,0.65219,0.30393,1.01931,0.21609,0.83377,0.000386162,0.000386162,0.000386162
81,3733.97,0.4071,1.12493,0.30416,0.89208,0.98893,0.98367,0.99412,0.95917,0.73313,0.72778,0.68044,0.64292,0.30959,1.0213,0.22644,0.8364,0.000377564,0.000377564,0.000377564
82,3780.37,0.4048,1.12642,0.30271,0.88787,0.98759,0.98891,0.99433,0.95699,0.72103,0.71814,0.67275,0.63572,0.32391,1.03377,0.22068,0.83792,0.000368986,0.000368986,0.000368986
83,3826.98,0.4006,1.11972,0.30047,0.87984,0.99365,0.98903,0.99396,0.96075,0.72706,0.72325,0.66015,0.62574,0.29779,0.99815,0.21557,0.8307,0.00036043,0.00036043,0.00036043
84,3872.63,0.39799,1.13032,0.29539,0.88587,0.99109,0.98884,0.99439,0.96069,0.72437,0.72751,0.68149,0.64377,0.29759,1.0473,0.21681,0.83113,0.0003519,0.0003519,0.0003519
85,3920.12,0.39441,1.15135,0.30046,0.88841,0.99367,0.99306,0.99446,0.96294,0.74992,0.74827,0.69163,0.6486,0.29522,1.03599,0.20714,0.83184,0.000343401,0.000343401,0.000343401
86,3967.1,0.39365,1.1277,0.29087,0.87951,0.98583,0.98894,0.99438,0.95967,0.73635,0.72639,0.68807,0.64312,0.29953,1.03051,0.21544,0.83196,0.000334936,0.000334936,0.000334936
87,4015.21,0.38988,1.13441,0.29349,0.88243,0.99208,0.99054,0.99362,0.96072,0.71248,0.71286,0.6514,0.61159,0.29506,1.01123,0.2098,0.83247,0.000326508,0.000326508,0.000326508
88,4062.68,0.39274,1.12371,0.29303,0.88356,0.99296,0.99392,0.99421,0.96028,0.72717,0.7287,0.67754,0.6337,0.29534,1.042,0.21005,0.83037,0.000318121,0.000318121,0.000318121
89,4108.84,0.40301,1.13938,0.2983,0.88289,0.99419,0.99436,0.9942,0.96147,0.72729,0.72658,0.67485,0.63639,0.30184,1.03733,0.20581,0.8318,0.00030978,0.00030978,0.00030978
90,4155.82,0.3914,1.13709,0.29287,0.88659,0.99337,0.99377,0.99445,0.96017,0.71033,0.71115,0.66354,0.62725,0.30313,1.0301,0.20858,0.83149,0.000301487,0.000301487,0.000301487
91,4203.3,0.39461,1.11425,0.28968,0.87867,0.99524,0.99106,0.99443,0.95971,0.71121,0.70868,0.67003,0.6293,0.31016,1.02734,0.20661,0.83449,0.000293246,0.000293246,0.000293246
92,4253.07,0.3956,1.10536,0.28895,0.8838,0.99481,0.9926,0.99449,0.95948,0.72082,0.71755,0.67617,0.6384,0.30533,1.02385,0.2106,0.83287,0.000285062,0.000285062,0.000285062
93,4302.03,0.39592,1.11801,0.29095,0.8845,0.99656,0.98874,0.9945,0.96477,0.72508,0.71895,0.66446,0.63108,0.29572,1.01345,0.20646,0.8281,0.000276937,0.000276937,0.000276937
94,4350.99,0.38506,1.11879,0.28858,0.87739,0.99515,0.9904,0.99454,0.96364,0.71649,0.71603,0.67531,0.64555,0.29147,0.99685,0.20299,0.82856,0.000268874,0.000268874,0.000268874
95,4396.83,0.38529,1.11956,0.28152,0.87636,0.99245,0.98919,0.9945,0.96411,0.72045,0.7191,0.67219,0.63832,0.28243,1.01111,0.20036,0.82411,0.000260879,0.000260879,0.000260879
96,4442.33,0.38578,1.11072,0.28255,0.88016,0.99669,0.99181,0.99462,0.96441,0.72684,0.72322,0.674,0.64291,0.2783,0.99297,0.19458,0.82445,0.000252953,0.000252953,0.000252953
97,4487.26,0.38134,1.12197,0.28482,0.88519,0.99808,0.99126,0.99478,0.96414,0.7183,0.71385,0.66559,0.63637,0.28864,1.00356,0.19772,0.82495,0.000245101,0.000245101,0.000245101
98,4534.3,0.3776,1.09552,0.27289,0.87879,0.99533,0.99306,0.99471,0.96679,0.71159,0.7076,0.65444,0.6234,0.28052,1.00807,0.19514,0.8221,0.000237326,0.000237326,0.000237326
99,4583.3,0.38401,1.11759,0.28004,0.88239,0.99649,0.9919,0.99461,0.96528,0.73263,0.73021,0.67307,0.63506,0.28319,0.99392,0.19647,0.82448,0.000229632,0.000229632,0.000229632
100,4632.18,0.37965,1.09922,0.2799,0.86889,0.99817,0.99282,0.99462,0.9686,0.72104,0.71721,0.68065,0.65154,0.27141,0.98112,0.19068,0.82134,0.000222021,0.000222021,0.000222021
101,4679.83,0.37755,1.10703,0.27637,0.87768,0.99694,0.9934,0.9947,0.96386,0.73024,0.72809,0.68102,0.64446,0.2817,1.0014,0.19091,0.82359,0.000214497,0.000214497,0.000214497
102,4725.66,0.38498,1.09115,0.27486,0.87797,0.99528,0.98988,0.99408,0.96476,0.73475,0.72707,0.66963,0.63558,0.28798,1.00104,0.19507,0.82379,0.000207064,0.000207064,0.000207064
103,4771.72,0.37715,1.11044,0.27552,0.87486,0.99756,0.99122,0.99416,0.96419,0.72764,0.72546,0.66954,0.63631,0.28217,1.02572,0.19496,0.82162,0.000199725,0.000199725,0.000199725
104,4818.23,0.37987,1.10184,0.27937,0.87866,0.99693,0.98801,0.99422,0.96684,0.72952,0.72244,0.6908,0.65742,0.2791,0.99532,0.19432,0.82156,0.000192482,0.000192482,0.000192482
105,4866.64,0.37353,1.07443,0.27377,0.87313,0.99629,0.99141,0.99426,0.96913,0.71745,0.71256,0.67545,0.64484,0.27062,1.02869,0.19196,0.82049,0.00018534,0.00018534,0.00018534
106,4916.97,0.37007,1.09095,0.2702,0.88028,0.99644,0.99164,0.99454,0.96662,0.71979,0.71839,0.66661,0.63181,0.2747,1.01814,0.19177,0.82064,0.000178301,0.000178301,0.000178301
107,4964.74,0.37763,1.08559,0.27574,0.87637,0.99723,0.98739,0.99463,0.96638,0.7227,0.71497,0.67033,0.63694,0.28454,1.02301,0.19315,0.8243,0.000171368,0.000171368,0.000171368
108,5014.26,0.37634,1.11499,0.26981,0.87157,0.99854,0.99156,0.99466,0.96875,0.73459,0.73056,0.67986,0.65008,0.27034,1.00211,0.18511,0.82013,0.000164544,0.000164544,0.000164544
109,5059.73,0.36528,1.07394,0.26926,0.87131,0.99609,0.99395,0.99466,0.96854,0.72208,0.7176,0.67501,0.6412,0.27816,1.01749,0.18617,0.82149,0.000157833,0.000157833,0.000157833
110,5107,0.37089,1.0937,0.267,0.87472,0.9968,0.99355,0.99466,0.97043,0.71011,0.71086,0.66809,0.64097,0.26693,1.0022,0.18406,0.81851,0.000151237,0.000151237,0.000151237
111,5153.45,0.36574,1.09008,0.26372,0.87443,0.99588,0.99159,0.99458,0.97107,0.72068,0.7189,0.67433,0.64042,0.26907,0.99671,0.18654,0.81795,0.000144759,0.000144759,0.000144759
112,5201.35,0.3695,1.09415,0.26538,0.87936,0.99101,0.98976,0.99365,0.96674,0.72802,0.71603,0.68244,0.6469,0.28204,1.014,0.1933,0.82227,0.000138402,0.000138402,0.000138402
113,5248.56,0.36281,1.0928,0.26209,0.87086,0.99576,0.98751,0.99408,0.96839,0.71944,0.71368,0.66938,0.63695,0.26255,0.99917,0.1878,0.81648,0.000132169,0.000132169,0.000132169
114,5295.34,0.36875,1.09485,0.26495,0.87443,0.99393,0.98671,0.99439,0.97094,0.71272,0.71668,0.66773,0.64133,0.25654,0.98294,0.18754,0.81575,0.000126063,0.000126063,0.000126063
115,5343.17,0.36561,1.10381,0.26063,0.87184,0.99657,0.98612,0.99457,0.96884,0.73043,0.72128,0.68084,0.6515,0.27093,0.99166,0.18591,0.81878,0.000120086,0.000120086,0.000120086
116,5390.12,0.36463,1.05667,0.2606,0.87286,0.99636,0.99211,0.99468,0.96768,0.72761,0.72541,0.67613,0.64337,0.27016,0.99517,0.18327,0.81895,0.00011424,0.00011424,0.00011424
117,5438.37,0.36945,1.08552,0.26195,0.873,0.99705,0.98901,0.99436,0.96956,0.73538,0.72774,0.67847,0.64708,0.26041,0.97557,0.18299,0.81669,0.000108529,0.000108529,0.000108529
118,5484.83,0.36364,1.0686,0.25932,0.86383,0.99786,0.9914,0.99476,0.97151,0.73485,0.72904,0.67893,0.65035,0.26258,0.9709,0.1793,0.81611,0.000102955,0.000102955,0.000102955
119,5532.42,0.36409,1.0825,0.26019,0.87338,0.99647,0.993,0.99477,0.97021,0.73807,0.73139,0.68314,0.65207,0.26298,0.97403,0.18038,0.81645,9.75208e-05,9.75208e-05,9.75208e-05
120,5579.88,0.36238,1.08052,0.25614,0.87361,0.99662,0.99426,0.99483,0.97205,0.73215,0.73025,0.6778,0.65022,0.25767,0.96734,0.17601,0.81578,9.22278e-05,9.22278e-05,9.22278e-05
121,5629.71,0.35957,1.07654,0.25346,0.87114,0.99639,0.99417,0.99467,0.96949,0.73451,0.73016,0.68235,0.65364,0.27037,0.99155,0.17919,0.8175,8.7079e-05,8.7079e-05,8.7079e-05
122,5679.94,0.36518,1.07931,0.25897,0.87345,0.99622,0.99258,0.9944,0.97254,0.72109,0.71641,0.67223,0.64744,0.25753,1.00625,0.17923,0.81414,8.20764e-05,8.20764e-05,8.20764e-05
123,5726.39,0.35621,1.05882,0.25488,0.86523,0.99609,0.99252,0.99426,0.96821,0.72397,0.72035,0.67747,0.64818,0.26386,1.01538,0.1809,0.8168,7.72224e-05,7.72224e-05,7.72224e-05
124,5772.39,0.35709,1.08235,0.25266,0.87453,0.9956,0.99188,0.99435,0.97042,0.73192,0.72416,0.67841,0.64727,0.26227,0.98581,0.18026,0.815,7.2519e-05,7.2519e-05,7.2519e-05
125,5817.92,0.35633,1.07459,0.25329,0.8671,0.99594,0.99197,0.99449,0.97158,0.73197,0.72591,0.68117,0.65412,0.25515,0.98514,0.17745,0.81391,6.79684e-05,6.79684e-05,6.79684e-05
